channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,nir
185,1264,758,893,1122,1063,838,473,176
120,865,506,588,689,649,500,287,122
123,865,511,597,882,849,669,374,130
28,183,113,136,176,165,147,79,35
178,1062,677,878,1266,1284,1108,677,214
217,1681,1010,1322,1559,1436,1154,614,185
304,2127,1296,1484,2082,2014,1616,923,344
187,1342,780,937,1215,1185,974,557,137
113,766,433,540,807,790,662,396,107
328,2224,1371,1604,2056,2028,1610,954,235
46,290,167,210,261,260,213,127,53
175,1234,747,858,1266,1222,977,577,175
587,3843,2810,3186,4041,4336,3723,2096,597
79,527,291,374,519,502,408,237,71
169,1206,663,831,945,909,726,424,88
110,766,439,529,681,645,530,298,104
251,1660,1017,1257,1819,1883,1589,946,156
246,1702,998,1187,1346,1346,1053,624,165
256,1768,1018,1245,1776,1696,1365,796,212
143,1010,565,699,887,858,709,414,111
455,2951,1839,2366,3581,3750,3285,2008,473
226,1487,947,1104,1446,1505,1241,762,173
320,2115,1269,1561,2182,2258,1955,1202,294
117,848,480,557,808,749,597,343,136
203,1261,737,943,1120,1138,944,568,152
177,1229,691,850,1251,1213,997,597,123
405,2581,1666,2032,3221,3378,2954,1778,543
244,1412,692,1069,1110,1098,926,559,159
161,1119,674,781,1034,991,807,462,143
120,847,504,571,785,759,614,358,123
299,2042,1260,1459,1922,1923,1638,1006,229
318,2056,1697,1810,1961,2013,1633,884,339
225,1525,915,1107,1407,1386,1100,660,177
108,713,441,517,690,668,529,312,106
273,1999,1104,1308,1722,1647,1232,792,120
355,2237,1302,1643,1842,1834,1561,981,284
154,1033,613,746,765,734,600,354,118
119,755,477,577,686,689,620,354,103
164,1025,699,787,1100,1109,893,520,204
144,982,594,702,964,907,732,420,160
447,2907,1846,2070,2423,2544,2039,1283,434
163,902,481,709,1313,1373,1174,749,193
537,3556,2187,2574,3074,2977,2364,1372,493
541,3633,2378,2793,3755,3773,3251,1905,675
302,2366,1395,1539,2247,2199,1637,1057,392
280,1787,1004,1328,1693,1671,1359,802,326
477,3384,1802,2287,3301,3295,2570,1615,446
307,2131,1260,1446,2307,2149,1604,929,314
153,1116,628,754,1075,1030,820,473,131
328,1794,901,1446,1815,1805,1530,917,260
219,1551,934,1129,1718,1639,1374,801,205
250,1644,1025,1179,1609,1619,1356,825,306
442,3259,1904,2181,3147,2943,2246,1380,342
214,1423,857,1012,1154,1124,866,510,166
375,2541,1582,1827,2468,2508,2058,1229,306
567,3707,2123,2544,1904,1782,1458,815,305
685,4510,2522,3583,3937,4044,3436,1899,586
416,3024,2045,2207,3075,2990,2342,1319,487
217,1371,696,967,1120,1047,812,457,153
282,1817,1136,1339,2926,3017,2599,1621,520
300,2359,1332,1514,2115,1945,1537,936,285
186,1171,599,829,1098,1037,825,482,149
273,1944,1162,1354,1796,1661,1329,753,221
430,2824,1875,2247,2926,3096,2614,1534,479
183,1301,749,896,1374,1336,1111,665,194
259,1795,991,1130,1345,1218,1044,699,186
340,2364,1379,1696,2438,2383,1980,1178,376
174,1169,635,832,935,883,717,417,152
335,2263,1407,1663,2232,2227,1811,1093,316
463,3242,1952,2319,3479,3291,2710,1665,498
319,2106,1361,1548,2021,2036,1701,1003,344
154,1041,629,742,993,989,830,495,142
152,1017,595,725,1064,1100,902,571,123
405,2967,1858,2101,2917,2848,2299,1278,475
222,911,626,1258,2423,2544,1972,1231,375
226,1610,939,1111,1555,1497,1216,707,238
149,989,594,714,1001,1016,862,524,172
175,1168,636,848,964,917,758,420,115
211,1494,860,1021,1314,1198,944,528,182
210,1323,902,1011,1277,1416,1174,652,242
161,1108,677,773,1062,1030,846,530,144
448,3440,1840,2020,2533,2366,2030,1272,371
271,1437,681,1078,1668,1590,1291,762,231
169,1106,646,789,988,976,827,500,159
125,844,462,602,732,687,535,311,136
162,1087,652,788,1091,1083,917,542,208
236,1676,981,1152,1541,1535,1283,762,184
263,1829,1034,1265,1744,1675,1298,742,223
645,4601,3084,3425,4420,4293,3360,1783,699
280,2034,1159,1407,1646,1554,1254,715,247
176,1202,716,833,1098,1069,878,536,184
218,1308,652,898,1088,999,793,431,150
104,713,385,501,615,573,423,241,78
483,2414,1721,2960,3437,3506,2755,1539,518
515,3174,1878,2540,2806,2846,2514,1362,504
162,941,482,731,1057,1022,833,484,154
238,1628,940,1207,2195,2105,1700,1071,212
235,1559,951,1179,1652,1763,1502,836,291
233,1501,797,1087,1525,1557,1348,846,228
706,4988,2634,3281,4706,4509,3610,2266,700
266,1853,1024,1257,1419,1310,1041,612,239
287,1926,1175,1386,1816,1811,1473,900,300
145,894,417,597,603,578,469,276,98
84,556,315,397,691,666,534,327,101
139,955,550,675,814,769,636,376,121
289,1860,1271,1320,1719,1721,1269,818,202
705,4433,3123,3615,5186,5291,4447,2568,801
619,3704,2670,3109,4086,4396,3752,2275,779
330,2374,1458,1663,2280,2201,1764,1009,253
378,2694,1636,2137,2955,2834,2358,1339,319
147,842,499,725,1018,1091,976,615,157
384,2625,1665,1854,2084,2086,1656,1037,305
110,702,400,494,667,691,559,340,97
166,1105,602,775,951,908,725,412,115
246,1723,895,1223,1690,1646,1362,818,192
264,1270,631,1003,1332,1289,1018,621,204
92,581,346,421,525,516,427,254,94
239,1604,991,1150,1685,1692,1411,836,284
81,543,306,389,567,558,471,277,69
161,1116,653,802,996,966,836,470,130
281,1964,1204,1396,2030,2030,1718,1036,330
304,2101,1258,1493,1968,1973,1604,934,259
99,697,442,499,699,711,598,369,148
388,2528,1640,1861,2504,2511,2054,1127,392
42,271,150,184,332,303,241,142,58
113,807,457,545,595,543,432,256,93
220,1558,876,1073,1639,1557,1284,722,174
353,2593,1490,1736,2042,1865,1422,815,234
229,1589,885,1110,1655,1608,1339,766,205
222,1603,930,1146,1505,1533,1295,767,197
205,1448,894,1070,1526,1470,1301,741,273
