channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,nir
1885,6598,5740,13211,22695,16592,10416,7705,3399
433,582,602,2585,5744,3111,1581,1806,1353
1413,3867,3437,9753,17462,11843,7194,6664,3057
1398,4259,3839,9744,17146,12003,7423,6088,2891
1354,4052,3709,10127,17991,12537,7836,5886,2827
1072,1485,1616,8069,16418,10305,5583,6184,2766
419,372,403,2674,6209,3035,1356,2019,1353
1067,2803,2751,8097,14943,9966,5940,4598,2363
275,258,255,1250,2955,1303,585,1197,1052
470,796,847,2978,6264,3682,1979,2192,1403
319,306,300,1417,3346,1512,685,1381,1227
1221,3577,3188,7972,14470,9557,5765,5245,2702
480,629,667,2817,6034,3296,1697,2274,1510
878,2516,2286,5825,10789,7164,4289,3648,2008
525,727,792,3389,7363,4175,2175,2399,1572
858,3375,2487,7583,13089,9125,5206,3881,1297
1546,6329,4571,13266,22395,17734,10895,5459,1983
443,1910,1301,3882,6358,4181,2421,2317,569
765,3145,2253,6590,11138,7336,4204,4027,1269
1449,6038,4254,11196,18667,15924,10372,5695,1947
1074,4453,3239,8948,14999,10311,5978,5283,1708
1095,4584,3415,9442,15687,10746,6218,4724,1659
738,2975,2166,6317,10487,6922,3961,3541,1096
924,3526,2608,7665,13040,8981,5114,4064,1404
1076,3738,2991,8669,14192,9748,5756,5478,1730
888,3685,2612,7625,12529,8486,4887,4151,1272
804,3113,2307,7262,12429,8325,4643,3436,1199
1090,4193,3211,8807,14265,9895,5857,5492,1912
1348,5679,4186,11043,18367,13117,7728,5763,1960
443,1674,1212,3980,6954,5005,2811,1836,733
1024,3958,2991,8990,15540,10477,5940,4426,1632
191,783,571,1719,2889,1811,1084,1028,261
1311,5330,3984,11522,19025,13111,7569,5519,2024
937,4149,2878,7798,12595,8532,5036,4461,1235
999,4415,3094,7951,12884,8925,5321,5146,1498
408,1688,1199,3637,5527,3502,2062,2199,557
618,2378,1719,5230,8191,5194,2950,3321,938
1504,6475,4486,12025,19975,14395,8529,7111,2104
1155,4813,3466,9792,16382,11297,6698,5728,1734
1061,4340,3227,9000,15415,11688,7082,4312,1502
465,1878,1271,3971,7237,5402,3210,2115,536
615,2706,1830,5118,8479,5563,3240,3263,896
931,3703,2688,7481,11745,7748,4474,4644,1396
1789,7326,5556,14674,22805,16533,9734,6962,2595
987,4339,3087,8293,13188,8869,5204,4894,1457
1061,4458,3126,8634,13802,9436,5581,5656,1358
605,2382,1698,5206,8758,6532,3902,2727,644
1639,7062,5056,12886,20982,14588,8714,8279,2509
370,1492,1065,3133,5550,3844,2235,1957,450
680,2668,1910,5584,9294,5779,3261,3772,1155
565,2388,1670,4822,7873,5214,3050,2908,745
601,2616,1775,4870,7781,5260,3086,2903,763
905,3759,2656,7394,11590,7536,4354,4536,1340
251,990,690,2104,3404,2104,1216,1552,317
674,3090,2070,5401,9077,7015,4421,2926,610
1530,6649,4874,12400,19267,13442,8039,6957,2096
1168,4852,3568,9932,16420,11168,6546,5695,1865
1286,4911,3726,10781,18464,13812,8198,5830,1872
728,3114,2126,5937,9459,6370,3734,3419,1164
539,2052,1496,4732,8008,5169,2879,2587,872
608,2453,1763,5131,7929,5066,2919,3128,866
756,2891,2217,6629,11259,7745,4440,3527,1190
1387,5331,3867,11010,20705,18117,11977,5626,2192
873,3641,2617,7193,10010,7069,4073,2933,1163
513,2177,1561,4905,8517,5717,3298,2337,773
584,2498,1748,4908,7957,5210,3051,3203,840
821,3263,2355,6957,11588,7690,4413,4118,1315
367,1442,1068,2967,4998,3473,2051,2006,642
731,3101,2216,6624,11083,7859,4538,2884,899
275,1145,778,2365,3266,2139,1261,1340,310
1080,4932,3419,9077,14385,9705,5762,4915,1507
712,2948,2155,6381,11059,8056,4766,3039,979
636,2512,1807,5571,9977,6798,3902,3139,970
611,2530,1853,5414,9144,6985,4282,2256,670
801,3262,2343,6913,9940,7132,4209,3021,950
659,2812,1920,5510,8210,5369,3110,3090,746
334,1327,951,2820,4072,2624,1547,1616,402
563,2394,1632,4976,7523,5127,3012,2591,586
972,4132,2908,8359,14684,10590,6436,4741,1276
507,2244,1590,4632,7640,5169,3044,2178,587
755,2929,2125,6299,10186,6634,3742,3984,1132
261,968,741,2086,3960,2550,1519,1707,505
507,2006,1460,4610,7532,5204,2890,2137,647
197,739,545,1599,2815,1844,1075,1101,277
990,4161,2936,8193,12974,8888,5143,4906,1440
1061,4662,3304,8875,13206,8918,5250,5016,1382
443,1868,1315,3858,5825,3689,2112,2305,570
518,1977,1428,4410,6931,4305,2450,2805,834
1029,4119,2941,8204,13988,9270,5389,5426,1527
442,1731,1232,4207,7121,4935,2895,2259,498
557,2359,1651,4984,8047,5155,2953,3082,728
533,2348,1579,4431,7191,4833,2808,2747,636
2151,8658,6449,17402,30996,23482,14348,10074,3504
