channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,nir
1601,5512,4396,12994,24403,21467,13978,7339,2920
1573,5549,4157,12687,23675,21245,14271,6814,2836
1705,5726,4663,13404,24646,20224,12918,7238,4034
544,2933,1844,3028,5299,5447,4105,2103,1099
653,2644,1784,4178,7826,7219,4697,2563,1349
1836,6344,5059,15070,29136,26037,17924,8622,3988
3172,10257,8754,25071,45949,40024,26482,12051,5720
1638,5704,4458,13362,23873,19534,11964,7183,2904
1017,3504,2684,8760,15250,12054,7486,3940,2242
2154,7313,5831,17870,33442,27967,17834,8449,3914
1449,5030,3808,12399,22208,17848,11237,6521,3049
2193,7139,5618,17286,33615,29925,19844,9749,4094
1182,3797,2941,9612,16524,13917,8939,4377,2333
2008,6591,5518,15774,17819,13431,8293,5235,3283
1773,5998,4620,14568,27332,23382,15030,7263,2904
898,3074,2229,7001,12774,11582,8171,3941,1976
1030,3457,2596,7654,12848,11680,7965,3924,2345
947,3193,2446,7245,12638,11354,7946,3835,2405
876,2889,2205,7198,13642,12105,8217,3786,1710
2127,6795,5952,16414,30852,25745,16652,8786,3769
1847,8048,5634,14245,23913,21495,15439,7585,3370
834,3166,2222,6013,11252,10275,6926,3387,1874
924,4101,2970,5578,9828,9129,6513,3446,2131
1243,4762,3367,9421,17100,14873,9835,5088,2167
894,3227,2210,7811,14681,13364,8861,4286,2201
744,2972,1935,6053,10820,9502,6291,3314,1913
1079,4744,3080,9718,16458,13576,8547,4951,2159
486,2288,1395,3915,6180,5088,3244,2012,1471
843,3603,2363,7730,12655,9921,6151,4049,1988
1215,4731,3262,10955,19058,17236,11808,5457,2811
667,2382,1615,5870,10342,9033,5936,3188,1630
799,3028,1985,6917,12861,11097,7287,3853,2379
980,4379,2807,8366,11837,10653,7156,3723,1512
608,2287,1515,5453,10096,8820,5911,3103,1582
685,2486,1702,5826,10758,9496,6337,3029,1937
1028,4002,2681,9241,16167,14212,9576,5056,2302
1588,5287,4078,14094,26210,23943,16218,7715,3097
791,3081,2027,7010,12172,10817,7294,3520,1853
881,3742,2417,6921,11595,11366,8510,4396,2451
1117,4948,3294,8121,14553,14906,11246,5827,2755
613,2853,1715,4652,7964,7221,5100,2563,2040
1068,3687,2685,9905,18196,15106,9096,4934,2605
1789,7714,5310,15600,23693,19592,12765,7665,3914
1338,5079,3539,12263,20762,17328,10858,6228,3153
1839,8944,5692,14964,24722,21982,15086,7979,3989
1421,6040,4009,12546,16379,14445,9569,4782,2641
958,3878,2716,8743,14750,12355,7970,4387,2569
431,1916,1215,2496,4143,4247,3237,1970,1595
1289,5388,3789,10810,18540,16866,11262,5555,2415
1409,4676,3373,12366,21153,17848,11216,5862,2610
1934,6145,4732,16661,22966,18846,11432,6452,3106
682,2616,1772,5640,10549,8628,5551,3146,2344
1377,6904,4643,13056,19838,15502,10219,6030,3771
3193,11967,8779,25585,44590,44114,32150,15440,6183
1415,4899,3566,11897,20064,18710,12784,6413,3439
2643,11292,7903,21812,40855,38339,26408,13566,5037
1231,5159,3557,11800,20448,16153,10207,5827,3278
300,1133,711,2012,2999,2603,1746,1171,1110
265,786,550,1791,3260,2651,1716,1162,1743
