channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,nir
3248,9034,7316,19754,35429,35437,27620,14359,3502
2256,5936,5072,13716,29761,29764,24166,12767,4315
1109,3836,2844,7172,14086,14821,11456,6343,1558
1580,4617,3647,11509,23825,23078,17535,9583,3158
976,2958,2210,6690,14438,14340,10914,5600,1661
2451,6192,5511,16717,35540,35860,27623,14144,4913
1358,4492,3318,9875,21817,21110,15962,8372,2293
2540,6662,5621,14460,32405,34586,28220,14396,5045
866,734,882,2998,10464,14312,13767,8481,2174
4505,12141,10261,26972,59093,62181,48754,24064,7860
1529,4619,3420,10110,22096,22391,16921,8544,2431
3982,12661,9958,26131,56185,56846,43298,21819,7024
1746,5437,4055,11969,26513,26223,19755,9972,3059
3047,9246,7148,20110,43810,44565,34043,16958,5075
1257,4386,3061,8600,18444,18365,13855,6990,1764
1436,4769,3379,9914,20208,20050,15026,7567,1816
1124,3945,2787,7980,14496,14200,10858,5521,1503
327,248,301,801,3531,5450,5251,3304,903
2543,6765,5601,16536,34421,36440,28398,14789,4634
1610,5684,4068,12169,24386,23501,17922,9194,2408
669,2420,1646,4326,8333,8652,6835,3564,850
2396,8077,6054,15859,30710,31937,25205,13214,3538
3211,8954,7451,21770,43310,44387,33876,17810,4869
2168,5394,4841,13169,25143,28084,22567,11976,4035
390,1412,1033,2646,4282,4476,3687,2035,574
480,1928,1299,2779,5775,5853,4503,2564,718
1433,4752,3471,9966,22745,22894,17241,8816,2115
1599,4520,3466,10761,17746,18380,13972,7584,1994
2761,10616,7615,18609,35650,35501,26701,13679,3385
636,1951,1458,4371,10033,10341,7891,4261,1575
2124,7165,5247,14359,33029,33399,25521,13326,3515
2162,6910,5105,14952,31301,31167,23641,11989,3288
3796,11295,8955,24235,54895,56899,44525,22188,7007
2860,8326,6697,18591,38620,40059,31260,15963,4992
2051,6879,5134,14583,29228,29626,22719,11618,2727
3236,11514,8706,22201,40136,39982,30514,15424,4679
2468,8892,6805,14000,28122,30908,25457,13438,3990
696,1949,1531,5478,11274,10989,8186,4327,1189
2040,6091,4712,14051,29315,30138,23580,12323,3746
1963,5310,4210,12698,27251,28463,21792,11322,3340
1786,5641,4232,12575,30792,31937,24911,12600,3986
3100,9929,7659,20600,44492,44802,35309,18048,5602
3553,12683,9893,23160,46755,47113,37006,18735,6651
1929,3992,3987,10369,27416,31205,25760,13749,4397
1203,3995,2916,8809,17061,16877,12820,6457,1971
1939,7294,5137,13893,26158,25971,19663,9969,2336
2216,10131,6790,15288,28825,28028,21463,11033,2695
3529,11199,8862,24166,47575,48362,37486,18876,5949
1139,3069,2516,8918,27014,27450,21038,10631,3313
906,2694,2093,6670,13216,13558,10879,5772,1542
927,2530,2001,6948,13923,13946,10650,5507,1745
1291,4150,3150,8706,16957,17242,13308,7534,2055
